rank,name,category,score,percentile,e_total,e_fr,e_thd,e_match,e_unc,w_conf,price_brl,score_lower_95,score_upper_95,n_sources,thd_available,match_available,peakiness,impedance_interaction
70,"Moondrop Moca (ANC on, reference)",in-ear,0.000914,95.2,5.4284,5.4284,0.0,0.0,1.25,0.4444,89.52,0.000787,0.001069,1,False,False,91.6227,False
71,"Beats Solo3 (wireless, 2019)",over-ear,0.00091,95.1,5.8959,5.8959,0.0,0.0,1.25,0.4444,82.87,0.000783,0.001064,1,False,False,48.3176,False
72,Monster Turbine-Pro,in-ear,0.000901,95.1,4.9369,4.9369,0.0,0.0,1.25,0.4444,99.9,0.000776,0.001054,1,False,False,88.8346,False
73,ZMF Atrium (ZMF BE2 perforated suede earpads),over-ear,0.000897,95.0,6.0122,6.0122,0.0,0.0,1.25,0.4444,82.44,0.000772,0.001048,1,False,False,95.0414,False
74,Fender FXA6,in-ear,0.000889,94.9,5.0703,5.0703,0.0,0.0,1.25,0.4444,98.57,0.000766,0.00104,1,False,False,58.5663,False
75,Shuoer Mystic 8 (wide eartips),in-ear,0.000883,94.9,5.5305,5.5305,0.0,0.0,1.25,0.4444,91.05,0.00076,0.001032,1,False,False,110.3445,False
76,Final Audio Heaven II,in-ear,0.000882,94.8,5.6925,5.6925,0.0,0.0,1.25,0.4444,88.5,0.000759,0.001031,1,False,False,70.4722,False
77,Monster Inspiration,over-ear,0.000881,94.7,5.8195,5.8195,0.0,0.0,1.25,0.4444,86.68,0.000758,0.00103,1,False,False,91.8776,False
78,Intime Miyabi,in-ear,0.000878,94.7,6.271,6.271,0.0,0.0,1.25,0.4444,80.75,0.000756,0.001026,1,False,False,92.4528,False
79,EarFun Air Pro 2 (A eartips),in-ear,0.000877,94.6,6.2602,6.2602,0.0,0.0,1.25,0.4444,80.95,0.000755,0.001025,1,False,False,111.7697,False
80,Final Audio Heaven S,in-ear,0.000875,94.5,5.7385,5.7385,0.0,0.0,1.25,0.4444,88.5,0.000753,0.001023,1,False,False,118.9889,False
81,Sash Tres 45,over-ear,0.000875,94.5,5.1834,5.1834,0.0,0.0,1.25,0.4444,98.0,0.000753,0.001023,1,False,False,50.5619,False
82,Philips SHS8000,in-ear,0.000871,94.4,5.9765,5.9765,0.0,0.0,1.25,0.4444,85.4,0.00075,0.001018,1,False,False,79.6409,False
83,BGVP Scale,in-ear,0.000867,94.3,6.0024,6.0024,0.0,0.0,1.3746,0.4211,80.9,0.000736,0.001032,2,False,False,90.8161,False
84,Focal Sphear,in-ear,0.000866,94.2,3.9448,3.9448,0.0,0.0,1.25,0.4444,130.02,0.000746,0.001013,1,False,False,61.7287,False
85,ZMF Eikon (ZMF Universe leather earpads),over-ear,0.000866,94.2,5.6209,5.6209,0.0,0.0,1.25,0.4444,91.26,0.000746,0.001013,1,False,False,85.1686,False
86,JBL Everest 110,in-ear,0.000865,94.1,5.946,5.946,0.0,0.0,1.25,0.4444,86.41,0.000745,0.001011,1,False,False,36.9087,False
87,SoundPeats Mini Pro HS,in-ear,0.000864,94.0,5.1498,5.1498,0.0,0.0,1.25,0.4444,99.9,0.000744,0.00101,1,False,False,69.1659,False
88,realme Buds Air 7 Pro (ANC off),in-ear,0.000863,94.0,7.8389,7.8389,0.0,0.0,1.25,0.4444,65.7,0.000743,0.001009,1,False,False,68.5845,False
89,AKG N700NC M2 (ANC on),over-ear,0.000861,93.9,5.4559,5.4559,0.0,0.0,1.25,0.4444,94.61,0.000741,0.001007,1,False,False,59.1651,False
90,Beyerdynamic DT 240 Pro,over-ear,0.00086,93.8,6.4078,6.4078,0.0,0.0,1.25,0.4444,80.61,0.000741,0.001006,1,False,False,78.5852,False
91,Final Audio B3,in-ear,0.000859,93.8,5.8484,5.8484,0.0,0.0,1.25,0.4444,88.5,0.000739,0.001004,1,False,False,101.9206,False
92,Intime Sho DD,in-ear,0.000859,93.7,6.4089,6.4089,0.0,0.0,1.25,0.4444,80.75,0.000739,0.001004,1,False,False,98.441,False
