rank,name,category,score,percentile,e_total,e_fr,e_thd,e_match,e_unc,w_conf,price_brl,canonical_name,price_brl_real,price_brl_estimated,price_confidence,price_source,price_source_type,price_match_score,updated_at,score_lower_95,score_upper_95,n_sources,thd_available,match_available,peakiness,impedance_interaction
44,Sivga Anser,over-ear,2.1e-05,24.6,7.9437,7.9437,0.0,0.0,2.1807,0.3144,1906.0,sivga anser,1906.0,,real_medium,amazon_br,marketplace,1.0,2026-06-18T02:55:43+00:00,1.7e-05,2.7e-05,2,False,False,67.3479,False
45,Beyerdynamic DT 990 Pro (250 Ohm),over-ear,2e-05,22.8,11.9665,11.9665,0.0,0.0,1.25,0.4444,1888.3,beyerdynamic dt 990 pro 250 ohm,1888.3,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:55:02+00:00,1.7e-05,2.3e-05,1,False,False,70.4094,False
46,Beyerdynamic DT 990 Pro Black Edition,over-ear,2e-05,21.1,11.9665,11.9665,0.0,0.0,1.25,0.4444,1888.3,beyerdynamic dt 990 pro black edition,1888.3,,real_high,zoom_jacotei,structured_search,0.88,2026-06-18T02:55:10+00:00,1.7e-05,2.3e-05,1,False,False,70.4094,False
47,Beats Studio3 Wireless,over-ear,1.7e-05,19.3,6.6435,6.6435,0.0,0.0,2.572,0.28,2499.0,beats studio3 wireless,2499.0,,real_high,kabum,structured_search,1.0,2026-06-18T02:54:59+00:00,1.3e-05,2.3e-05,3,False,False,86.9179,False
48,Beyerdynamic DT 880 (250 Ohm),over-ear,1.7e-05,17.5,7.3139,7.3139,0.0,0.0,1.6353,0.3795,3105.0,beyerdynamic dt 880 250 ohm,3105.0,,real_high,zoom_jacotei,structured_search,0.825,2026-06-18T02:55:09+00:00,1.4e-05,2.1e-05,3,False,False,34.8633,False
49,Beyerdynamic DT 770 Pro (250 Ohm),over-ear,1.5e-05,15.8,10.5097,10.5097,0.0,0.0,2.1142,0.3211,2091.67,beyerdynamic dt 770 pro 250 ohm,2091.67,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:55:00+00:00,1.2e-05,1.9e-05,2,False,False,57.2811,False
50,Beyerdynamic DT 990 Pro,over-ear,1.5e-05,14.0,9.653,9.653,0.0,0.0,2.557,0.2811,1888.3,beyerdynamic dt 990 pro,1888.3,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:55:10+00:00,1.2e-05,2.1e-05,4,False,False,42.3267,False
51,AKG K701,over-ear,1.4e-05,12.3,7.0399,7.0399,0.0,0.0,2.8403,0.2604,2657.73,akg k701,2657.73,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:54:54+00:00,1.1e-05,1.9e-05,5,False,False,37.7159,False
52,Beyerdynamic DT 770 Pro,over-ear,1.4e-05,10.5,9.6984,9.6984,0.0,0.0,2.5866,0.2788,1999.99,beyerdynamic dt 770 pro,1999.99,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:55:00+00:00,1.1e-05,1.9e-05,3,False,False,47.4317,False
53,Meze 99 Classics,over-ear,1.4e-05,8.8,7.3169,7.3169,0.0,0.0,3.786,0.2089,2113.6,meze 99 classics,2113.6,,real_medium,zoom_jacotei,structured_search,0.733,2026-06-18T02:55:27+00:00,1e-05,1.9e-05,4,False,False,74.8351,False
54,Beyerdynamic DT 880,over-ear,1.3e-05,7.0,7.7838,7.7838,0.0,0.0,2.1837,0.3141,3105.0,beyerdynamic dt 880,3105.0,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:55:01+00:00,1e-05,1.7e-05,3,False,False,42.3802,False
55,Skullcandy Crusher Wireless,over-ear,1.3e-05,5.3,10.482,10.482,0.0,0.0,3.4844,0.223,1652.43,skullcandy crusher wireless,1652.43,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:55:48+00:00,1e-05,1.8e-05,2,False,False,49.443,False
56,Moondrop Blessing 3,in-ear,1.2e-05,3.5,7.5831,7.5831,0.0,0.0,1.9367,0.3405,3709.27,moondrop blessing 3,3709.27,,real_medium,amazon_br,marketplace,1.0,2026-06-18T02:56:16+00:00,1e-05,1.5e-05,4,False,False,40.1388,False
57,Audeze LCD-X,over-ear,2e-06,1.8,7.9677,7.9677,0.0,0.0,3.9309,0.2028,14409.99,audeze lcd x,14409.99,,real_high,zoom_jacotei,structured_search,1.0,2026-06-18T02:54:53+00:00,1e-06,3e-06,5,False,False,31.5445,False
